Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
50.2,163.0,16.2,7.8,5.5,171.5,1,Assam,-1
44.7,146.2,12.0,8.7,4.4,152.8,0,Assam,-1
47.5,132.4,6.6,7.3,6.3,132.9,1,Bhuttan,+1
47.3,157.9,14.7,8.8,6.5,162.1,0,Assam,-1
38.9,138.6,15.5,11.2,5.6,140.2,0,Bhuttan,+1
51.8,157.5,4.2,10.8,6.2,162.0,1,Bhuttan,+1
54.1,164.0,12.0,8.8,4.0,168.5,0,Assam,-1
63.7,152.9,14.8,8.7,5.5,160.9,0,Assam,-1
49.2,149.2,11.5,7.4,4.0,153.5,0,Assam,-1
56.0,161.9,10.6,6.4,5.9,164.5,1,Bhuttan,+1
34.5,138.5,18.0,6.7,6.4,145.1,1,Assam,-1
49.4,151.4,11.5,6.7,2.2,161.8,0,Assam,-1
29.9,120.9,6.2,8.5,7.8,127.3,1,Bhuttan,+1
44.7,136.9,13.0,10.0,3.9,143.4,0,Assam,-1
30.8,118.7,9.6,12.8,5.8,122.1,0,Bhuttan,+1
31.6,124.1,6.4,12.1,5.7,125.9,0,Bhuttan,+1
28.5,147.2,21.0,9.6,5.5,152.0,1,Bhuttan,+1
38.1,158.3,9.2,10.5,5.7,158.3,1,Bhuttan,+1
74.7,155.4,16.5,6.2,5.5,159.2,1,Assam,-1
40.2,160.9,16.1,9.0,6.4,163.9,0,Bhuttan,+1
22.9,142.2,-0.8,8.9,5.4,142.4,1,Bhuttan,+1
57.2,140.8,17.8,6.7,5.4,146.0,0,Assam,-1
25.8,158.9,15.2,9.8,6.2,163.4,1,Assam,-1
47.4,153.9,13.8,9.4,4.5,157.0,1,Bhuttan,+1
54.6,138.2,12.2,10.7,5.1,146.3,0,Assam,-1
48.5,139.0,13.5,8.8,5.8,146.5,0,Assam,-1
54.2,162.5,14.5,5.9,5.8,166.5,0,Assam,-1
45.4,138.8,12.6,9.3,4.3,145.8,0,Assam,-1
44.2,144.4,13.2,9.0,5.6,144.0,1,Bhuttan,+1
40.1,153.8,15.4,8.1,4.3,159.8,1,Assam,-1
37.1,145.3,7.9,8.7,5.1,150.1,0,Assam,-1
59.0,160.5,13.0,7.7,6.0,166.0,0,Assam,-1
42.2,129.1,1.6,8.4,5.1,131.5,1,Bhuttan,+1
52.1,151.5,12.3,8.7,6.4,152.4,1,Bhuttan,+1
28.6,127.8,16.2,8.5,8.0,131.1,1,Bhuttan,+1
14.6,133.4,3.8,10.2,7.0,137.5,0,Bhuttan,+1
43.7,145.7,8.7,9.5,4.1,152.3,0,Assam,-1
49.1,149.4,19.0,8.5,4.6,154.5,0,Assam,-1
32.5,152.2,16.4,8.4,5.3,152.6,0,Bhuttan,+1
30.9,141.9,9.4,9.8,3.7,151.1,0,Assam,-1
35.6,128.5,2.2,11.1,4.4,131.4,1,Bhuttan,+1
18.1,160.3,10.8,7.6,3.6,166.0,1,Assam,-1
79.6,152.2,11.0,7.3,4.5,157.6,0,Assam,-1
40.8,152.2,10.3,10.0,5.7,156.6,0,Assam,-1
58.0,157.0,14.2,14.6,4.9,157.7,1,Bhuttan,+1
67.4,139.1,4.5,8.7,4.6,145.7,0,Assam,-1
61.6,142.1,11.0,8.6,4.8,148.8,0,Assam,-1
65.1,165.7,7.0,9.0,5.8,169.3,0,Assam,-1
34.7,148.7,18.9,6.1,4.2,154.6,1,Assam,-1
50.7,140.4,11.8,8.5,4.9,148.1,0,Assam,-1
29.2,141.4,13.2,9.5,3.5,148.6,1,Assam,-1
38.9,128.1,5.4,11.1,5.9,128.3,0,Bhuttan,+1
25.8,130.5,0.6,12.4,6.4,133.8,1,Bhuttan,+1
25.6,139.0,16.8,9.8,5.9,137.7,0,Bhuttan,+1
60.4,150.9,12.7,4.1,4.8,157.8,0,Assam,-1
42.8,136.9,14.4,5.9,4.7,144.2,1,Assam,-1
53.7,148.5,8.6,7.9,5.7,154.5,0,Assam,-1
42.1,157.5,16.7,11.1,5.9,158.9,0,Bhuttan,+1
57.6,136.2,14.1,5.6,5.4,143.1,1,Assam,-1
44.2,144.1,12.5,8.7,5.2,149.2,0,Assam,-1
49.5,146.1,7.2,8.2,3.6,148.5,1,Assam,-1
35.7,152.7,6.5,5.5,5.6,156.1,0,Assam,-1
23.7,145.8,16.0,10.1,4.9,147.7,0,Bhuttan,+1
25.4,158.5,8.4,8.9,3.9,161.9,1,Bhuttan,+1
56.4,149.6,13.2,7.1,4.3,157.0,0,Assam,-1
50.8,145.2,12.2,10.5,5.6,150.4,0,Assam,-1
63.8,160.8,2.5,13.3,5.9,164.2,1,Bhuttan,+1
45.8,139.8,5.8,9.1,6.9,147.1,0,Assam,-1
45.6,133.0,6.9,12.6,6.0,136.4,0,Bhuttan,+1
44.4,145.4,13.2,10.2,5.7,152.8,0,Assam,-1
21.7,153.0,14.5,8.1,6.2,155.4,1,Bhuttan,+1
45.9,142.0,14.7,10.6,6.4,147.2,0,Assam,-1
43.0,123.1,13.0,8.1,4.1,126.9,1,Assam,-1
30.0,133.1,4.5,9.2,9.2,137.8,1,Bhuttan,+1
46.0,158.8,8.9,11.1,4.3,167.7,0,Assam,-1
53.1,151.4,7.3,11.1,7.8,155.3,1,Bhuttan,+1
43.3,144.0,9.4,11.5,5.9,147.5,1,Bhuttan,+1
70.4,160.0,20.3,9.4,5.3,166.4,1,Assam,-1
51.7,143.5,10.1,10.4,4.3,150.7,0,Assam,-1
62.7,154.1,13.5,10.6,6.1,155.6,1,Bhuttan,+1
34.3,145.7,14.1,10.8,5.5,149.1,1,Bhuttan,+1
48.6,161.7,9.6,10.2,6.0,165.4,1,Bhuttan,+1
37.0,128.6,11.4,9.1,3.1,134.7,1,Assam,-1
39.0,137.2,11.1,9.0,5.6,141.9,1,Bhuttan,+1
48.9,155.8,8.7,12.9,6.8,156.7,0,Bhuttan,+1
32.9,136.6,16.6,5.9,6.5,142.7,1,Assam,-1
24.2,127.0,4.6,7.7,4.5,129.1,0,Bhuttan,+1
44.3,150.9,14.1,5.3,7.4,155.3,1,Bhuttan,+1
48.7,137.6,4.6,8.0,4.1,143.8,0,Assam,-1
40.8,145.6,3.4,10.7,6.8,149.3,1,Bhuttan,+1
39.4,121.8,9.0,9.3,6.0,122.3,1,Bhuttan,+1
29.2,164.0,22.5,8.2,5.2,171.1,1,Assam,-1
55.6,160.6,14.8,9.7,4.2,168.4,0,Assam,-1
33.3,146.6,11.5,8.4,3.6,152.9,1,Assam,-1
49.9,150.5,10.6,6.6,3.7,158.0,1,Assam,-1
57.1,163.2,17.0,3.8,4.5,166.3,0,Assam,-1
55.9,152.6,2.7,10.7,6.7,156.3,1,Bhuttan,+1
49.4,141.2,13.3,7.5,3.4,147.3,1,Assam,-1
51.5,132.4,6.1,9.5,7.6,134.5,0,Bhuttan,+1
71.2,144.3,10.7,10.6,4.7,149.0,0,Assam,-1
60.2,140.1,10.3,7.4,5.5,148.2,0,Assam,-1
56.4,133.3,9.7,6.9,5.1,138.4,0,Assam,-1
28.3,131.2,-1.0,8.2,5.2,132.5,0,Bhuttan,+1
31.0,144.3,13.4,10.2,7.1,146.3,0,Bhuttan,+1
45.8,134.7,7.7,9.9,7.7,136.8,0,Bhuttan,+1
32.5,153.0,11.2,8.5,4.3,157.8,0,Assam,-1
52.5,159.4,15.1,8.9,5.8,163.4,0,Assam,-1
27.3,129.9,17.7,7.9,4.5,138.3,0,Assam,-1
48.5,151.3,11.3,9.6,6.5,150.4,1,Bhuttan,+1
41.1,138.6,2.0,9.5,6.4,139.8,1,Bhuttan,+1
47.0,164.2,9.0,12.8,6.1,168.1,1,Bhuttan,+1
44.8,161.6,7.0,8.8,4.7,169.5,0,Assam,-1
47.0,140.0,7.3,12.0,7.1,142.7,1,Bhuttan,+1
38.2,144.8,12.4,7.0,4.0,150.4,0,Assam,-1
56.4,151.5,8.9,9.0,5.2,158.3,0,Assam,-1
26.7,135.0,5.7,9.1,6.5,137.6,0,Bhuttan,+1
63.8,132.9,14.3,8.1,4.9,140.3,1,Assam,-1
30.6,162.4,8.2,10.8,7.8,165.0,0,Bhuttan,+1
26.7,132.7,4.6,9.0,6.7,131.8,0,Bhuttan,+1
21.0,141.1,9.5,11.4,4.5,142.5,1,Bhuttan,+1
66.8,159.5,6.8,13.5,7.4,161.7,0,Bhuttan,+1
30.5,132.3,11.7,8.6,4.1,138.0,1,Assam,-1
44.5,151.8,13.0,9.8,4.6,157.8,0,Assam,-1
40.7,148.8,17.9,8.6,6.5,150.6,1,Bhuttan,+1
63.8,124.2,11.7,10.4,3.0,129.2,1,Assam,-1
34.9,142.2,10.3,7.1,4.7,151.1,0,Assam,-1
57.3,134.6,7.2,9.5,5.5,136.3,1,Assam,-1
36.7,151.3,18.6,10.6,6.0,154.0,0,Bhuttan,+1
23.2,114.3,10.8,8.3,6.6,120.2,0,Assam,-1
48.5,139.5,7.0,7.5,3.6,145.2,0,Assam,-1
49.3,139.7,11.3,8.4,6.2,147.4,0,Assam,-1
44.2,140.2,17.7,10.6,6.9,140.4,0,Bhuttan,+1
46.5,148.3,3.9,7.0,4.9,157.3,0,Assam,-1
66.7,169.7,13.7,6.7,4.0,174.0,0,Assam,-1
44.7,127.6,13.9,8.4,4.2,131.9,1,Assam,-1
44.9,155.0,6.3,13.2,5.2,157.0,1,Bhuttan,+1
56.9,146.3,6.8,10.7,4.1,147.5,1,Bhuttan,+1
44.9,136.8,20.0,7.2,5.4,139.1,1,Bhuttan,+1
67.5,153.9,12.8,7.3,4.6,163.1,0,Assam,-1
36.7,134.9,6.5,10.8,6.9,137.4,0,Bhuttan,+1
30.7,134.8,9.4,10.3,6.6,140.0,0,Bhuttan,+1
42.8,148.5,17.0,10.7,4.5,152.2,1,Assam,-1
52.5,153.1,15.6,8.6,4.5,159.4,0,Assam,-1
44.1,136.0,9.8,7.2,5.4,137.4,1,Bhuttan,+1
62.3,139.6,17.5,8.6,7.6,148.2,1,Assam,-1
47.6,142.3,4.1,7.0,6.6,142.3,1,Bhuttan,+1
51.3,137.6,14.9,7.1,5.1,144.0,1,Assam,-1
39.0,129.9,11.9,10.1,5.2,136.3,1,Assam,-1
38.2,143.4,15.0,12.3,5.7,143.3,1,Bhuttan,+1
28.5,161.3,9.5,7.7,8.4,166.6,0,Bhuttan,+1
51.0,146.9,7.4,9.5,3.8,153.1,0,Assam,-1
47.4,158.0,14.4,7.8,6.2,162.0,1,Bhuttan,+1
58.1,132.5,13.4,8.5,5.9,136.7,0,Assam,-1
73.2,163.9,10.8,8.3,5.0,168.0,0,Assam,-1
44.6,143.5,10.9,9.9,5.4,144.3,1,Bhuttan,+1
38.6,154.1,11.5,10.3,5.2,155.6,1,Bhuttan,+1
29.5,148.7,13.2,8.7,6.0,155.9,0,Assam,-1
40.7,153.0,16.2,8.7,5.8,159.4,0,Bhuttan,+1
33.5,137.2,7.4,8.4,6.1,139.8,1,Bhuttan,+1
46.0,143.2,10.3,9.6,5.5,150.7,0,Assam,-1
51.2,154.0,6.6,7.5,4.2,160.6,0,Assam,-1
28.6,144.3,11.8,10.7,6.9,147.6,0,Bhuttan,+1
34.8,125.6,2.8,9.6,5.7,127.5,1,Bhuttan,+1
40.5,145.8,10.0,7.3,4.8,148.3,0,Assam,-1
43.1,144.7,12.4,8.7,5.4,151.4,0,Assam,-1
46.8,146.5,9.3,8.3,6.5,152.7,0,Assam,-1
57.2,131.6,10.7,7.7,4.4,138.6,1,Assam,-1
39.7,155.0,2.6,10.7,7.3,158.0,0,Bhuttan,+1
58.7,140.8,21.9,7.9,4.2,147.3,1,Assam,-1
54.0,133.3,12.3,8.6,5.6,137.8,1,Assam,-1
46.8,144.2,7.6,5.8,4.1,151.1,0,Assam,-1
45.2,147.3,13.9,6.6,3.4,153.5,0,Assam,-1
57.8,141.3,13.7,8.1,5.2,148.8,0,Assam,-1
55.2,139.8,7.2,6.0,6.4,138.3,1,Bhuttan,+1
37.6,139.0,13.3,9.5,8.2,141.0,0,Bhuttan,+1
28.2,141.4,12.9,8.0,6.7,146.7,1,Assam,-1
49.8,128.2,11.7,6.7,3.6,135.7,0,Assam,-1
52.7,163.7,9.3,8.7,5.8,171.0,0,Assam,-1
47.5,155.4,17.7,10.1,4.7,162.6,0,Assam,-1
52.6,148.1,12.2,9.5,5.8,154.0,1,Bhuttan,+1
53.5,163.8,8.5,8.4,6.2,169.7,0,Assam,-1
36.5,129.8,7.4,9.1,6.3,132.0,0,Bhuttan,+1
37.9,150.8,13.7,13.4,6.9,154.1,0,Bhuttan,+1
47.1,156.4,11.4,8.2,5.4,160.5,0,Assam,-1
46.3,130.0,11.8,8.4,5.6,134.9,1,Assam,-1
52.6,162.8,9.1,8.2,3.3,168.5,1,Assam,-1
55.6,149.2,18.0,11.9,6.4,150.9,0,Bhuttan,+1
39.8,160.7,9.6,8.2,4.3,168.2,0,Assam,-1
27.2,132.0,2.5,12.9,6.0,133.6,0,Bhuttan,+1
45.4,150.8,7.6,8.2,2.7,156.6,1,Assam,-1
44.6,164.5,11.7,9.1,4.2,170.3,0,Assam,-1
34.8,159.2,13.8,8.2,4.5,166.0,0,Assam,-1
35.5,121.8,4.4,12.3,5.4,126.4,1,Bhuttan,+1
23.4,144.8,8.4,8.5,6.9,147.1,1,Bhuttan,+1
34.0,131.6,6.4,9.8,5.4,134.4,0,Bhuttan,+1
54.8,146.7,6.8,11.2,5.2,151.5,0,Assam,-1
57.0,136.6,13.4,7.0,6.5,142.6,1,Assam,-1
45.7,150.2,11.1,7.4,5.4,154.6,1,Bhuttan,+1
62.5,128.7,8.4,9.2,5.0,136.2,1,Assam,-1
41.6,139.9,13.1,9.4,7.9,142.9,0,Bhuttan,+1
45.7,142.5,13.5,9.3,6.1,141.3,1,Bhuttan,+1
49.2,126.9,8.3,8.6,6.2,133.2,0,Assam,-1
50.7,149.9,14.7,8.2,5.0,155.7,0,Assam,-1
54.3,159.7,9.5,9.2,4.6,162.9,1,Bhuttan,+1
38.3,145.1,14.7,7.3,6.4,150.5,1,Bhuttan,+1
59.1,150.6,16.8,9.0,6.5,155.9,1,Assam,-1
44.5,140.9,3.6,10.0,4.7,137.3,1,Bhuttan,+1
44.0,141.6,24.8,9.1,4.6,148.0,1,Assam,-1
53.5,141.8,9.6,12.6,5.0,145.7,1,Bhuttan,+1
45.3,145.8,16.8,10.1,5.3,152.9,0,Assam,-1
44.9,159.7,17.8,8.2,4.5,161.1,0,Bhuttan,+1
36.0,149.1,8.1,14.1,2.8,149.3,1,Bhuttan,+1
47.9,145.2,14.7,7.9,5.6,151.0,0,Assam,-1
64.5,144.8,11.2,9.0,4.2,150.3,0,Assam,-1
39.8,124.3,11.4,6.3,4.2,130.6,1,Assam,-1
54.0,161.3,5.7,6.9,3.9,167.0,0,Assam,-1
49.7,151.0,6.1,9.3,5.8,154.7,1,Bhuttan,+1
63.6,146.8,11.0,7.1,4.8,153.0,0,Assam,-1
54.3,154.7,5.5,12.6,7.1,158.5,1,Bhuttan,+1
46.3,149.7,3.3,10.7,6.4,154.1,1,Bhuttan,+1
23.2,142.9,14.2,7.3,5.5,147.7,0,Assam,-1
48.0,149.9,8.1,10.0,5.0,152.4,1,Bhuttan,+1
38.2,133.0,4.8,7.3,5.0,131.1,1,Bhuttan,+1
58.6,148.9,15.1,6.0,4.6,152.4,1,Assam,-1
63.2,151.5,7.3,5.8,6.4,150.9,1,Bhuttan,+1
63.2,146.9,10.4,7.8,3.2,152.7,1,Bhuttan,+1
45.2,127.7,10.8,9.4,4.7,132.3,1,Assam,-1
24.2,159.8,6.5,7.9,4.7,167.8,0,Assam,-1
37.5,131.2,7.4,13.4,3.9,135.8,1,Bhuttan,+1
42.2,140.0,9.5,6.0,3.2,144.3,0,Assam,-1
48.0,130.5,5.8,9.5,6.4,132.5,1,Bhuttan,+1
54.9,159.3,18.5,10.9,6.1,163.9,0,Bhuttan,+1
29.5,151.7,19.3,11.5,6.4,153.5,0,Bhuttan,+1
28.5,147.2,2.4,12.7,5.4,151.2,1,Bhuttan,+1
49.7,155.6,15.0,6.4,4.2,160.7,1,Assam,-1
18.3,137.9,11.5,6.9,4.9,139.8,0,Bhuttan,+1
47.2,128.3,11.3,9.6,5.6,135.9,0,Assam,-1
39.2,167.4,9.2,7.4,5.1,171.7,0,Assam,-1
40.3,135.0,4.9,9.2,5.5,137.5,0,Bhuttan,+1
28.0,122.4,10.1,9.7,4.9,128.4,1,Assam,-1
42.3,144.7,14.3,8.0,4.8,150.4,0,Assam,-1
59.3,150.5,7.2,10.0,5.4,154.5,0,Assam,-1
39.4,151.3,4.9,9.0,3.7,157.1,1,Assam,-1
12.6,123.9,4.7,9.0,5.9,126.8,1,Bhuttan,+1
53.3,154.5,7.7,11.6,6.7,153.5,0,Bhuttan,+1
46.9,164.6,7.6,6.3,3.8,168.9,0,Assam,-1
47.0,155.0,14.2,12.7,5.2,157.9,1,Bhuttan,+1
51.2,148.1,21.9,7.6,5.3,149.1,0,Bhuttan,+1
45.7,140.0,3.1,8.9,6.1,139.3,1,Bhuttan,+1
33.4,147.6,15.1,9.4,7.1,147.7,0,Bhuttan,+1
44.8,131.4,3.4,9.5,5.3,133.8,0,Bhuttan,+1
31.2,153.1,16.4,11.7,7.9,154.4,0,Bhuttan,+1
53.0,151.7,13.5,9.0,6.5,157.5,0,Assam,-1
46.2,133.9,12.2,6.8,4.9,141.0,0,Assam,-1
59.7,148.3,12.4,8.0,4.3,152.6,0,Assam,-1
44.4,136.9,19.2,6.8,4.3,143.5,1,Assam,-1
63.8,162.3,10.9,9.9,4.6,168.2,0,Assam,-1
40.9,156.7,14.7,6.1,3.9,162.2,0,Assam,-1
56.8,135.5,9.1,9.6,6.4,140.4,0,Bhuttan,+1
61.4,150.9,12.6,10.8,7.3,153.4,0,Bhuttan,+1
48.3,157.0,10.1,9.4,6.5,157.7,1,Bhuttan,+1
51.5,138.2,6.8,10.3,7.7,140.2,0,Bhuttan,+1
51.2,174.5,15.7,7.9,5.6,179.9,1,Assam,-1
56.6,149.0,11.7,10.4,6.1,152.3,1,Bhuttan,+1
57.6,139.9,13.4,11.5,5.4,136.2,1,Bhuttan,+1
55.1,149.1,8.7,7.5,4.4,153.3,0,Assam,-1
55.3,150.3,5.4,9.2,6.4,150.8,1,Bhuttan,+1
62.8,154.2,10.7,10.0,6.1,152.4,1,Bhuttan,+1
45.9,166.5,17.8,7.2,5.3,176.1,1,Assam,-1
51.9,148.1,10.1,9.6,5.8,150.3,1,Bhuttan,+1
43.2,126.3,11.1,8.4,4.4,133.4,0,Assam,-1
36.6,132.5,9.5,9.9,7.5,135.5,1,Bhuttan,+1
53.6,135.8,10.2,8.4,3.9,143.7,1,Assam,-1
49.4,155.3,10.0,12.2,7.4,156.6,0,Bhuttan,+1
63.2,146.4,5.6,11.7,5.8,149.9,1,Bhuttan,+1
51.7,140.7,1.2,7.8,5.2,145.7,0,Assam,-1
50.2,146.6,9.5,8.0,4.3,154.5,0,Assam,-1
26.5,155.6,17.8,7.1,5.7,163.7,0,Assam,-1
42.1,121.5,11.2,7.7,6.3,129.1,1,Assam,-1
26.9,132.4,6.0,9.5,6.3,136.4,0,Bhuttan,+1
54.6,135.0,13.6,10.7,6.7,141.0,1,Bhuttan,+1
53.1,166.9,20.9,7.9,5.6,170.9,1,Assam,-1
41.1,142.8,11.4,11.6,6.3,143.2,1,Bhuttan,+1
57.5,139.3,13.2,8.5,6.2,145.7,0,Assam,-1
40.9,142.9,7.5,8.2,4.9,144.7,1,Bhuttan,+1
21.3,127.9,4.9,5.7,5.5,128.3,0,Bhuttan,+1
33.6,152.8,17.5,10.1,5.9,157.1,1,Assam,-1
43.2,142.7,14.2,9.7,6.4,148.1,1,Bhuttan,+1
63.8,138.7,22.6,11.8,7.8,140.2,0,Bhuttan,+1
41.9,145.9,2.0,9.5,3.2,153.5,1,Assam,-1
49.3,134.2,18.5,8.3,6.1,139.4,1,Assam,-1
42.2,174.3,4.2,7.7,3.2,182.0,1,Assam,-1
32.6,120.2,12.6,8.8,6.0,127.0,1,Assam,-1
44.8,138.8,13.6,10.2,6.6,139.7,1,Bhuttan,+1
53.1,152.7,12.9,11.0,6.4,155.3,1,Bhuttan,+1
53.6,160.3,12.9,10.4,5.8,161.7,1,Bhuttan,+1
39.0,144.9,11.3,8.9,5.4,146.1,1,Bhuttan,+1
45.6,131.7,0.3,8.1,6.5,129.3,0,Bhuttan,+1
52.0,145.2,15.7,4.8,5.1,151.0,1,Assam,-1
33.9,129.5,11.3,6.2,3.9,134.1,1,Assam,-1
39.2,142.5,10.4,10.3,7.1,144.5,0,Bhuttan,+1
42.0,145.8,7.0,7.8,4.5,146.0,1,Bhuttan,+1
37.3,157.4,15.4,8.4,5.7,162.3,1,Assam,-1
39.5,142.2,12.8,7.7,6.2,143.2,1,Bhuttan,+1
66.6,159.4,9.7,9.1,5.4,164.8,0,Assam,-1
40.0,140.2,6.2,8.0,6.2,142.0,1,Bhuttan,+1
29.8,136.2,3.7,12.8,7.4,137.5,0,Bhuttan,+1
67.5,134.5,4.7,8.9,7.9,140.5,0,Assam,-1
53.8,157.6,11.9,6.6,6.5,163.1,1,Bhuttan,+1
32.1,137.9,10.6,12.1,6.8,142.9,1,Bhuttan,+1
23.9,131.5,7.9,10.5,4.0,134.3,0,Bhuttan,+1
38.2,159.1,13.9,12.3,6.5,165.3,1,Bhuttan,+1
40.9,145.0,15.1,9.0,5.5,147.4,1,Assam,-1
33.6,143.3,13.7,7.3,5.2,148.3,0,Assam,-1
33.1,159.9,13.0,9.0,6.8,161.7,1,Bhuttan,+1
